_id,end,start,tweet_count
ObjectId(626f6a1d10fcafb74b6f2fe1),2021-09-25T00:00:00.000Z,2021-09-24T00:00:00.000Z,409954
ObjectId(626f6a1d10fcafb74b6f2fe2),2021-09-26T00:00:00.000Z,2021-09-25T00:00:00.000Z,285771
ObjectId(626f6a1d10fcafb74b6f2fe3),2021-09-27T00:00:00.000Z,2021-09-26T00:00:00.000Z,242418
ObjectId(626f6a1d10fcafb74b6f2fe4),2021-09-28T00:00:00.000Z,2021-09-27T00:00:00.000Z,269019
ObjectId(626f6a1d10fcafb74b6f2fe5),2021-09-29T00:00:00.000Z,2021-09-28T00:00:00.000Z,258965
ObjectId(626f6a1d10fcafb74b6f2fe6),2021-09-30T00:00:00.000Z,2021-09-29T00:00:00.000Z,272532
ObjectId(626f6a1d10fcafb74b6f2fe7),2021-10-01T00:00:00.000Z,2021-09-30T00:00:00.000Z,270420
ObjectId(626f6a1d10fcafb74b6f2fe8),2021-10-02T00:00:00.000Z,2021-10-01T00:00:00.000Z,307255
ObjectId(626f6a1d10fcafb74b6f2fe9),2021-10-03T00:00:00.000Z,2021-10-02T00:00:00.000Z,230143
ObjectId(626f6a1d10fcafb74b6f2fea),2021-10-04T00:00:00.000Z,2021-10-03T00:00:00.000Z,238059
ObjectId(626f6a1d10fcafb74b6f2feb),2021-10-05T00:00:00.000Z,2021-10-04T00:00:00.000Z,296756
ObjectId(626f6a1d10fcafb74b6f2fec),2021-10-06T00:00:00.000Z,2021-10-05T00:00:00.000Z,313384
ObjectId(626f6a1d10fcafb74b6f2fed),2021-10-07T00:00:00.000Z,2021-10-06T00:00:00.000Z,364666
ObjectId(626f6a1d10fcafb74b6f2fee),2021-10-08T00:00:00.000Z,2021-10-07T00:00:00.000Z,321942
ObjectId(626f6a1d10fcafb74b6f2fef),2021-10-09T00:00:00.000Z,2021-10-08T00:00:00.000Z,258529
ObjectId(626f6a1d10fcafb74b6f2ff0),2021-10-10T00:00:00.000Z,2021-10-09T00:00:00.000Z,233275
ObjectId(626f6a1d10fcafb74b6f2ff1),2021-10-11T00:00:00.000Z,2021-10-10T00:00:00.000Z,226652
ObjectId(626f6a1d10fcafb74b6f2ff2),2021-10-12T00:00:00.000Z,2021-10-11T00:00:00.000Z,306062
ObjectId(626f6a1d10fcafb74b6f2ff3),2021-10-13T00:00:00.000Z,2021-10-12T00:00:00.000Z,274068
ObjectId(626f6a1d10fcafb74b6f2ff4),2021-10-14T00:00:00.000Z,2021-10-13T00:00:00.000Z,279892
ObjectId(626f6a1d10fcafb74b6f2ff5),2021-10-15T00:00:00.000Z,2021-10-14T00:00:00.000Z,284961
ObjectId(626f6a1d10fcafb74b6f2ff6),2021-10-16T00:00:00.000Z,2021-10-15T00:00:00.000Z,442586
ObjectId(626f6a1d10fcafb74b6f2ff7),2021-10-17T00:00:00.000Z,2021-10-16T00:00:00.000Z,306294
ObjectId(626f6a1d10fcafb74b6f2ff8),2021-10-18T00:00:00.000Z,2021-10-17T00:00:00.000Z,259445
ObjectId(626f6a1d10fcafb74b6f2ff9),2021-10-19T00:00:00.000Z,2021-10-18T00:00:00.000Z,298793
ObjectId(626f6a1d10fcafb74b6f2ffa),2021-10-20T00:00:00.000Z,2021-10-19T00:00:00.000Z,373328
ObjectId(626f6a1d10fcafb74b6f2ffb),2021-10-21T00:00:00.000Z,2021-10-20T00:00:00.000Z,502698
ObjectId(626f6a1d10fcafb74b6f2ffc),2021-10-22T00:00:00.000Z,2021-10-21T00:00:00.000Z,350537
ObjectId(626f6a1d10fcafb74b6f2ffd),2021-10-23T00:00:00.000Z,2021-10-22T00:00:00.000Z,345444
ObjectId(626f6a1d10fcafb74b6f2ffe),2021-10-24T00:00:00.000Z,2021-10-23T00:00:00.000Z,266788
ObjectId(626f6a1d10fcafb74b6f2fff),2021-10-25T00:00:00.000Z,2021-10-24T00:00:00.000Z,262588
ObjectId(626f6a1d10fcafb74b6f2fc2),2021-10-26T00:00:00.000Z,2021-10-25T00:00:00.000Z,285596
ObjectId(626f6a1d10fcafb74b6f2fc3),2021-10-27T00:00:00.000Z,2021-10-26T00:00:00.000Z,299139
ObjectId(626f6a1d10fcafb74b6f2fc4),2021-10-28T00:00:00.000Z,2021-10-27T00:00:00.000Z,290056
ObjectId(626f6a1d10fcafb74b6f2fc5),2021-10-29T00:00:00.000Z,2021-10-28T00:00:00.000Z,278998
ObjectId(626f6a1d10fcafb74b6f2fc6),2021-10-30T00:00:00.000Z,2021-10-29T00:00:00.000Z,272585
ObjectId(626f6a1d10fcafb74b6f2fc7),2021-10-31T00:00:00.000Z,2021-10-30T00:00:00.000Z,236480
ObjectId(626f6a1d10fcafb74b6f2fc8),2021-11-01T00:00:00.000Z,2021-10-31T00:00:00.000Z,260541
ObjectId(626f6a1d10fcafb74b6f2fc9),2021-11-02T00:00:00.000Z,2021-11-01T00:00:00.000Z,279768
ObjectId(626f6a1d10fcafb74b6f2fca),2021-11-03T00:00:00.000Z,2021-11-02T00:00:00.000Z,300512
ObjectId(626f6a1d10fcafb74b6f2fcb),2021-11-04T00:00:00.000Z,2021-11-03T00:00:00.000Z,293410
ObjectId(626f6a1d10fcafb74b6f2fcc),2021-11-05T00:00:00.000Z,2021-11-04T00:00:00.000Z,280232
ObjectId(626f6a1d10fcafb74b6f2fcd),2021-11-06T00:00:00.000Z,2021-11-05T00:00:00.000Z,284856
ObjectId(626f6a1d10fcafb74b6f2fce),2021-11-07T00:00:00.000Z,2021-11-06T00:00:00.000Z,270786
ObjectId(626f6a1d10fcafb74b6f2fcf),2021-11-08T00:00:00.000Z,2021-11-07T00:00:00.000Z,251111
ObjectId(626f6a1d10fcafb74b6f2fd0),2021-11-09T00:00:00.000Z,2021-11-08T00:00:00.000Z,349266
ObjectId(626f6a1d10fcafb74b6f2fd1),2021-11-10T00:00:00.000Z,2021-11-09T00:00:00.000Z,393475
ObjectId(626f6a1d10fcafb74b6f2fd2),2021-11-11T00:00:00.000Z,2021-11-10T00:00:00.000Z,338856
