_id,end,start,tweet_count
ObjectId(626ef77209d7c24447c9621b),2022-03-30T00:00:00.000Z,2022-03-29T00:00:00.000Z,436309
ObjectId(626ef77209d7c24447c9621c),2022-03-31T00:00:00.000Z,2022-03-30T00:00:00.000Z,409271
ObjectId(626ef77209d7c24447c9621d),2022-04-01T00:00:00.000Z,2022-03-31T00:00:00.000Z,382714
ObjectId(626ef77209d7c24447c9621e),2022-04-02T00:00:00.000Z,2022-04-01T00:00:00.000Z,386914
ObjectId(626ef77209d7c24447c9621f),2022-04-03T00:00:00.000Z,2022-04-02T00:00:00.000Z,360059
ObjectId(626ef77209d7c24447c96220),2022-04-04T00:00:00.000Z,2022-04-03T00:00:00.000Z,333250
ObjectId(626ef77209d7c24447c96221),2022-04-05T00:00:00.000Z,2022-04-04T00:00:00.000Z,388065
ObjectId(626ef77209d7c24447c96222),2022-04-06T00:00:00.000Z,2022-04-05T00:00:00.000Z,381970
ObjectId(626ef77209d7c24447c96223),2022-04-07T00:00:00.000Z,2022-04-06T00:00:00.000Z,380450
ObjectId(626ef77209d7c24447c96224),2022-04-08T00:00:00.000Z,2022-04-07T00:00:00.000Z,424498
ObjectId(626ef77209d7c24447c96225),2022-04-09T00:00:00.000Z,2022-04-08T00:00:00.000Z,436995
ObjectId(626ef77209d7c24447c96226),2022-04-10T00:00:00.000Z,2022-04-09T00:00:00.000Z,385455
ObjectId(626ef77209d7c24447c96227),2022-04-11T00:00:00.000Z,2022-04-10T00:00:00.000Z,347598
ObjectId(626ef77209d7c24447c96228),2022-04-12T00:00:00.000Z,2022-04-11T00:00:00.000Z,391112
ObjectId(626ef77209d7c24447c96229),2022-04-13T00:00:00.000Z,2022-04-12T00:00:00.000Z,396159
ObjectId(626ef77209d7c24447c9622a),2022-04-14T00:00:00.000Z,2022-04-13T00:00:00.000Z,369808
ObjectId(626ef77209d7c24447c9622b),2022-04-15T00:00:00.000Z,2022-04-14T00:00:00.000Z,342342
ObjectId(626ef77209d7c24447c9622c),2022-04-16T00:00:00.000Z,2022-04-15T00:00:00.000Z,314639
ObjectId(626ef77209d7c24447c9622d),2022-04-17T00:00:00.000Z,2022-04-16T00:00:00.000Z,306759
ObjectId(626ef77209d7c24447c9622e),2022-04-18T00:00:00.000Z,2022-04-17T00:00:00.000Z,289821
